Atmid,Claim Registration Date,Date of Incidence,Issue,Location,Policy No,Security,State,Type of claim,Asset Loss,Cash Loss,Claim No.,Total Loss
P2998759999,4/1/2013,3/28/2013,Vandalism,AMRITSAR,635003984,Guarded,Punjab,Attempted Theft,36450,0,623677,36450
NRXXN99291,4/1/2013,3/29/2013,Vandalism,Jharkhand,635003984,Guarded,Jharkhand,Attempted Theft,52080,0,623675,52080
343521991,4/1/2013,3/21/2013,Vandalism,ASSAM,635003984,Guarded,Arunachal Pradesh,Attempted Theft,287400,0,623679,287400
DZEP5999976799992,4/5/2013,4/3/2013,Vandalism,HOSHIARPUR,DEF0001218,Non Guarded,Punjab,Attempted Theft,15620,0,622226,15620
DZEP9999997329927,4/9/2013,4/6/2013,Vandalism,AMRITSAR,635003984,Guarded,Punjab,Attempted Theft,10410,0,625327,10410
DEEP99999965399999,4/9/2013,4/7/2013,Vandalism,HOSHIARPUR,DEF0001218,Non Guarded,Punjab,Attempted Theft,15620,0,625337,15620
DZEP99999961699996,4/9/2013,4/8/2013,Vandalism,BATALA,DEF0001217,Guarded,Punjab,Attempted Theft,66080,0,625322,66080
DEEP999947339954,4/11/2013,4/9/2013,Vandalism,LUDHIANA,DEF0001217,Guarded,Punjab,Attempted Theft,28120,0,625592,28120
DZEP9999997329927,4/15/2013,4/10/2013,Vandalism,AMRITSAR,DEF0001217,Guarded,Punjab,Attempted Theft,156250,0,626383,156250
NSIL992991,4/15/2013,4/12/2013,Vandalism,Siliguri,DEF0001217,Guarded,West Bengal,Attempted Theft,65160,0,626382,65160
NPUN1311,4/15/2013,4/12/2013,Vandalism,PUNE,DEF0001217,Guarded,Maharashtra,Attempted Theft,69790,0,626375,69790
DJUL699511111111,4/22/2013,4/14/2013,Vandalism,Amritsar,DEF0001217,Guarded,Punjab,Attempted Theft,0,0,627557,0
DZEP5999976799992,4/22/2013,4/17/2013,Vandalism,HOSHIARPUR-2nd Attempt ,DEF0001217,Guarded,Punjab,Attempted Theft,15620,0,628232,15620
NHYD1391,4/24/2013,4/22/2013,Vandalism,Hyderbad,DEF0001217,Guarded,Andhra Pradesh,Attempted Theft,72910,0,628872,72910
XXGC899991,4/25/2013,4/20/2013,Natural Calamity,MAHARASHTRA,DEF0001218,Non Guarded,Maharashtra,Act of God,28640,0,628592,28640
CED999991,4/26/2013,4/20/2013,Vandalism,CHATTISGARH,DEF0001218,Non Guarded,Chattisgarh,Attempted Theft,86450,0,629225,86450
DEEP99999968399997,4/30/2013,4/26/2013,Vandalism,MUKTSAR,DEF0001217,Guarded,Punjab,Attempted Theft,20830,0,635388,20830
DZEO9999689699993,4/30/2013,4/27/2013,Vandalism,SAMBHA,DEF0001217,Guarded,Jammu & Kashmir,Attempted Theft,125000,0,635386,125000
DEEP99999972399996,4/30/2013,4/27/2013,Vandalism,AMRITSAR,DEF0001217,Guarded,Punjab,Attempted Theft,226040,0,635382,226040
DZEP59999991399995,4/30/2013,4/28/2013,Vandalism,NABHA,DEF0001217,Guarded,Punjab,Attempted Theft,10410,0,635383,10410
DEEP99999965399999,5/4/2013,5/2/2013,Vandalism,HOSHIARPUR,DEF0001217,Guarded,Punjab,Attempted Theft,15620,0,637338,15620
NPXXT99481,5/4/2013,5/2/2013,Vandalism,PATNA,DEF0001217,Guarded,Bihar,Attempted Theft,41140,0,637337,41140
KEL169917,5/6/2013,5/1/2013,Short Circuit,HIRIYUR,DEF0001218,Non Guarded,Karnataka,Fire Loss,64580,0,637652,64580
NPUN1531,5/7/2013,5/5/2013,Fire Accident,PUNE,DEF0001217,Guarded,Maharashtra,Fire Loss,38020,0,632237,38020
IPSEN9999999992,5/8/2013,5/6/2013,Vandalism,HOSHIARPUR,DEF0001217,Guarded,Punjab,Attempted Theft,10410,0,632277,10410
NEXXN19971,5/8/2013,5/6/2013,Vandalism,KARNATAKA,DEF0001217,Guarded,Karnataka,Attempted Theft,0,0,632276,0
DEEP99999965399199,5/8/2013,5/7/2013,Vandalism,HOSHIARPUR,DEF0001217,Guarded,Punjab,Attempted Theft,63750,0,632567,63750
DEEK9999999978268,5/14/2013,5/13/2013,Natural Calamity,GUWAHATI,DEF0001217,Guarded,Assam,Act of God,0,0,632582,0
KEL199921,5/17/2013,5/15/2013,Natural Calamity,VISHAKHAPATNAM,DEF0001218,Non Guarded,Andhra Pradesh,Act of God,22910,0,632727,22910
NDUR99281,5/17/2013,5/15/2013,Natural Calamity,ASANSOL,DEF0001217,Guarded,West Bengal,Act of God,22910,0,632728,22910
NCOI99381,5/17/2013,5/15/2013,Vandalism,COIMBOTORE,DEF0001217,Guarded,Karnataka,Attempted Theft,66490,0,632779,66490
DZEK999915399923,5/23/2013,5/17/2013,Vandalism,MIZORAM,DEF0001217,Guarded,Mizoram,Attempted Theft,36530,0,636593,36530
IPSEN9999999992,5/23/2013,5/19/2013,Vandalism,HOSHIARPUR,DEF0001217,Guarded,Punjab,Attempted Theft,10410,0,636596,10410
NPXXT995991,5/31/2013,5/27/2013,Vandalism,PATNA,DEF0001217,Guarded,Bihar,Attempted Theft,41140,0,638686,41140
NXXHM99741,6/6/2013,6/1/2013,Vandalism,AHMEDABAD,DEF0001217,Guarded,Gujarat,Attempted Theft,105200,0,625372,105200
NEXXN1121,6/11/2013,6/7/2013,Vandalism,Banglore,DEF0001217,Guarded,Karnataka,Attempted Theft,46870,0,627565,46870
P1998169999,6/11/2013,6/9/2013,Vandalism,NAWANSHAHAR,DEF0001217,Guarded,Punjab,Attempted Theft,371870,0,627563,371870
M31I4299911,6/13/2013,6/10/2013,Vandalism,JALANDHAR,DEF0001217,Guarded,Punjab,Attempted Theft,72910,0,622722,72910
NI12997992,6/13/2013,6/12/2013,Vandalism,ASSAM,DEF0001217,Guarded,Assam,Attempted Theft,119360,0,622725,119360
NI1942991,6/21/2013,6/18/2013,Vandalism,GOBINDGARH,DEF0001217,Guarded,Punjab,Attempted Theft,129420,0,625577,129420
DEEO99999972299997,6/25/2013,6/22/2013,Vandalism,SRINAGAR,DEF0001217,Guarded,Jammu & Kashmir,Attempted Theft,62500,0,625257,62500
NRXXN99331,6/27/2013,6/23/2013,Vandalism,Ranchi,DEF0001217,Guarded,Jharkhand,Attempted Theft,41320,0,626538,41320
NRXXN99351,6/28/2013,6/23/2013,Vandalism,Ranchi,DEF0001217,Guarded,Jharkhand,Attempted Theft,62500,0,626373,62500
O2996549999,7/1/2013,6/15/2013,Vandalism,Ferozepur,DEF0001217,Guarded,Punjab,Attempted Theft,170190,0,626976,170190
NRXXN99371,7/2/2013,6/28/2013,Vandalism,Jharkhand,DEF0001217,Guarded,Jharkhand,Attempted Theft,41320,0,627232,41320
DEEP999947339968,7/2/2013,6/30/2013,Vandalism,LUDHIANA,DEF0001217,Guarded,Punjab,Attempted Theft,31250,0,627228,31250
NI99212992,7/2/2013,6/30/2013,Vandalism,Cheharta,DEF0001217,Guarded,Punjab,Attempted Theft,103670,0,627227,103670
JLU999993,7/2/2013,6/30/2013,Vandalism,Jalalabad,DEF0001217,Guarded,Punjab,Attempted Theft,282950,0,627222,282950
DZEP9999154499992,7/2/2013,6/30/2013,Vandalism,Rampura,DEF0001217,Guarded,Punjab,Attempted Theft,125960,0,627222,125960
DEEP999947339954,7/2/2013,7/2/2013,Vandalism,Dhandari-2,DEF0001217,Guarded,Punjab,Attempted Theft,19790,0,627759,19790
P5189939999,7/8/2013,7/5/2013,Vandalism,LUDHIANA,DEF0001217,Guarded,Punjab,Attempted Theft,282950,0,628972,282950
XXS9999331U,7/10/2013,6/16/2013,Vandalism,MOIRABARI,DEF0001217,Guarded,Assam,Attempted Theft,158090,0,629575,158090
XXS9999151U,7/10/2013,6/23/2013,Vandalism,TINSUKIA,DEF0001218,Non Guarded,Assam,Attempted Theft,27080,0,629572,27080
DEEP9999997329937,7/10/2013,7/5/2013,Vandalism,Pratap Nagar,DEF0001217,Guarded,Punjab,Attempted Theft,277080,0,629569,277080
P1359959999,7/10/2013,7/6/2013,Vandalism,Beas,DEF0001217,Guarded,Punjab,Attempted Theft,51850,0,629567,51850
M31I9934611,7/10/2013,7/7/2013,Vandalism,Khadur Sahib,DEF0001217,Guarded,Punjab,Attempted Theft,43750,0,629566,43750
NXXHM99761,7/10/2013,7/6/2013,Vandalism,Nirnaynagar,DEF0001217,Guarded,Gujarat,Attempted Theft,114220,0,629562,114220
DEEP59999992899994,7/11/2013,7/7/2013,Vandalism,Sangrur,DEF0001217,Guarded,Punjab,Attempted Theft,17700,0,655555,17700
P2998959999,7/11/2013,7/8/2013,Vandalism,Baba Bakala,DEF0001217,Guarded,Punjab,Attempted Theft,118850,0,655562,118850
DEEP999947339941,7/12/2013,7/8/2013,Vandalism,Noorwala,DEF0001217,Guarded,Punjab,Attempted Theft,246500,0,655378,246500
863222991,7/17/2013,7/11/2013,Vandalism,Gurdaspur,DEF0001217,Guarded,Punjab,Attempted Theft,35410,0,657636,35410
378222991,7/17/2013,7/15/2013,Vandalism,Amloh Road,DEF0001217,Guarded,Punjab,Attempted Theft,0,0,657635,0
NNXXG99681,7/23/2013,7/18/2013,Vandalism,Godhani Road,DEF0001217,Guarded,Maharashtra,Attempted Theft,26040,0,653726,26040
O127129999,7/23/2013,7/21/2013,Vandalism,Fatehgarh Sahib,DEF0001217,Guarded,Punjab,Attempted Theft,48430,0,653755,48430
DZEK9999117199399,7/25/2013,7/19/2013,Short Circuit,Rabgiya,DEF0001217,Guarded,Assam,Fire Loss,59440,0,652528,59440
XXGZ899994,7/25/2013,7/19/2013,Vandalism,Moradabad,DEF0001217,Guarded,New Delhi,Attempted Theft,52080,0,652523,52080
XXS998611U,7/26/2013,7/16/2013,Short Circuit,TINSUKIA,DEF0001217,Guarded,Assam,Fire Loss,59440,0,652793,59440
DEEP99999972399996 ,7/26/2013,7/22/2013,Vandalism,Khadyr Sahib -2nd Attempt,DEF0001217,Guarded,Punjab,Attempted Theft,223950,0,652796,223950
DZEP9999154999917,7/26/2013,7/22/2013,Vandalism,Bathinda,DEF0001217,Guarded,Punjab,Attempted Theft,35410,0,65275,35410
NMUM39981,7/26/2013,7/24/2013,Vandalism,Panvel,DEF0001217,Guarded,Maharashtra,Attempted Theft,0,0,652257,0
JLU99921,7/29/2013,7/26/2013,Vandalism,Focal Point,DEF0001217,Guarded,Punjab,Attempted Theft,282290,0,655557,282290
NCXXL19951,7/30/2013,7/24/2013,Vandalism,HOWRAH,DEF0001217,Guarded,West Bengal,Attempted Theft,48950,0,655327,48950
O439629999,8/1/2013,7/17/2013,Vandalism,TIRUKATA,DEF0001217,Guarded,Jammu & Kashmir,Attempted Theft,16920,0,655828,16920
DEEO9999147899998,8/1/2013,7/19/2013,Vandalism,Anantanag,DEF0001217,Guarded,Jammu & Kashmir,Attempted Theft,24210,0,655827,24210
DZEP5999976799992,8/6/2013,8/2/2013,Vandalism,3-Attempt,DEF0001217,Guarded,Punjab,Attempted Theft,173650,0,657572,173650
IPSEN99984991,8/6/2013,8/2/2013,Vandalism,2-Attempt,DEF0001217,Guarded,Punjab,Attempted Theft,74710,0,657572,74710
KEL9939925,8/6/2013,8/1/2013,Vandalism,Panipath,DEF0001218,Non Guarded,Karnataka,Attempted Theft,125430,0,657577,125430
NEXXN11991,8/12/2013,8/7/2013,Vandalism,Banglore,DEF0001217,Guarded,Karnataka,Attempted Theft,76350,0,658352,76350
DZEP9999996449912,8/14/2013,8/9/2013,Vandalism,Pathankot,DEF0001217,Guarded,Punjab,Attempted Theft,25180,0,659376,25180
NLUD611,8/14/2013,8/9/2013,Vandalism,PATIALA,DEF0001217,Guarded,Punjab,Attempted Theft,88950,0,659372,88950
XXIN2698,8/14/2013,8/9/2013,Vandalism,Jalandhar,DEF0001217,Guarded,Punjab,Attempted Theft,68220,0,659372,68220
DZEP9999143199995,8/14/2013,8/12/2013,Vandalism,Phagwara,DEF0001217,Guarded,Punjab,Attempted Theft,36450,0,659377,36450
DLUD61411111111,8/14/2013,8/12/2013,Vandalism,Darabassi,DEF0001217,Guarded,Punjab,Attempted Theft,30460,0,659358,30460
SVN7522I1,8/16/2013,8/6/2013,Vandalism,Mahilpur,DEF0001217,Guarded,Punjab,Attempted Theft,282290,0,659753,282290
DZEP99991559999992,8/16/2013,8/13/2013,Vandalism,Mudki,DEF0001217,Guarded,Punjab,Attempted Theft,76870,0,659757,76870
O213689999,8/16/2013,8/12/2013,Vandalism,Sangrur,DEF0001217,Guarded,Punjab,Attempted Theft,31250,0,659728,31250
M31I1613992,8/21/2013,8/15/2013,Vandalism,Gill Road,DEF0001217,Guarded,Punjab,Attempted Theft,246500,0,665692,246500
NNEL99391,8/22/2013,8/20/2013,Vandalism,"K T Road, Tirupati",DEF0001217,Guarded,Andhra Pradesh,Attempted Theft,63650,0,667272,63650
XXHY89919,8/23/2013,8/20/2013,Vandalism,Tirumala,DEF0001218,Non Guarded,Andhra Pradesh,Attempted Theft,63640,0,667379,63640
XXPT99911,8/23/2013,8/9/2013,Vandalism,Parsa,DEF0001218,Non Guarded,Bihar,Attempted Theft,46870,0,667375,46870
M31I99363992,8/26/2013,8/21/2013,Vandalism,Dana Mandhi,DEF0001217,Guarded,Punjab,Attempted Theft,277080,0,667937,277080
CSL999991,8/27/2013,8/20/2013,Vandalism,Maulana Azad,DEF0001218,Non Guarded,Jammu & Kashmir,Attempted Theft,67700,0,662275,67700
NCHN1161,8/27/2013,8/24/2013,Vandalism,CHENNAI,DEF0001217,Guarded,Tamil Nadu,Attempted Theft,79000,0,662255,79000
DZEK99996999199299,8/28/2013,8/9/2013,Vandalism,Itanagar,DEF0001217,Guarded,Arunachal Pradesh,Attempted Theft,42880,0,662859,42880
DZEK9999699919917,8/28/2013,8/14/2013,Vandalism,Itanagar,DEF0001217,Guarded,Arunachal Pradesh,Attempted Theft,38040,0,662873,38040
DZEK99999999729945,8/28/2013,8/5/2013,Vandalism,DIMAPUR,DEF0001217,Guarded,Nagaland,Attempted Theft,15720,0,662876,15720
DZEK9999992149911,8/28/2013,8/9/2013,Vandalism,KOHIMA,DEF0001217,Guarded,Nagaland,Attempted Theft,0,0,662878,0
XXS993671U,8/28/2013,8/18/2013,Vandalism,Krishnai,DEF0001217,Guarded,Goa,Attempted Theft,193790,0,662832,193790
NGUW619911111111,8/28/2013,8/20/2013,Vandalism,CHALTLANG ,DEF0001217,Guarded,Mizoram,Attempted Theft,282950,0,662838,282950
XXS99999981U,8/28/2013,8/8/2013,Vandalism,DHUBRI BRANCH ASSAM,DEF0001217,Guarded,Assam,Attempted Theft,39200,0,662822,39200
NHYD1291,8/28/2013,8/25/2013,Vandalism,Secundrabad,DEF0001217,Guarded,Andhra Pradesh,Attempted Theft,28120,0,662822,28120
DZEK9999399399241,8/29/2013,8/21/2013,Vandalism,LALMATI,DEF0001217,Guarded,Assam,Attempted Theft,117670,0,663557,117670
DZEP5999962799991,8/30/2013,8/25/2013,Vandalism,Ferozepur,DEF0001217,Guarded,Punjab,Attempted Theft,34890,0,663557,34890
NI1722991,8/31/2013,8/29/2013,Vandalism,GUWAHATI,DEF0001217,Guarded,Assam,Attempted Theft,78410,0,663828,78410
XXIE899991,8/31/2013,8/28/2013,Vandalism,Deoria,DEF0001218,Non Guarded,Uttar Pradesh,Attempted Theft,53640,0,663835,53640
NGUW99491,8/31/2013,8/25/2013,Vandalism,Guwahati ,DEF0001217,Guarded,Assam,Attempted Theft,83330,0,663837,83330
NMUM3451,8/31/2013,8/28/2013,Vandalism,Navi Mumbai,DEF0001217,Guarded,Maharashtra,Attempted Theft,28280,0,663832,28280
JLU99917,8/31/2013,8/26/2013,Vandalism,Malerkotla,DEF0001217,Guarded,Chattisgarh,Attempted Theft,21400,0,663833,21400
NCXXL19951,8/31/2013,8/28/2013,Vandalism,HOWRAH,DEF0001217,Guarded,West Bengal,Attempted Theft,48950,0,663835,48950
NRXXN99331,9/2/2013,9/2/2013,Vandalism,Ranchi,DEF0001217,Guarded,Jharkhand,Attempted Theft,0,0,665379,0
CESD99874499,9/10/2013,8/28/2013,Vandalism,Guwahati,DEF0001217,Guarded,Assam,Attempted Theft,55060,0,665925,55060
P1319999999,9/10/2013,9/6/2013,Vandalism,BARPETA,DEF0001217,Guarded,Assam,Attempted Theft,166410,0,665978,166410
DZEK9999299999915,9/10/2013,9/6/2013,Vandalism,BARPETA,DEF0001217,Guarded,Assam,Attempted Theft,127960,0,665976,127960
NCXXL19971,9/11/2013,9/4/2013,Vandalism,Krishnapur,DEF0001217,Guarded,West Bengal,Attempted Theft,15620,0,666332,15620
NCXXL19951,9/11/2013,9/5/2013,Vandalism,G T Road,DEF0001217,Guarded,West Bengal,Attempted Theft,46870,0,666328,46870
NI99212992,9/11/2013,9/10/2013,Vandalism,CHHEHARTA,DEF0001217,Guarded,Punjab,Attempted Theft,72870,0,666325,72870
DZEK9999685299991,9/11/2013,9/9/2013,Vandalism,VANDAR BAZAR,DEF0001217,Guarded,Tripura,Attempted Theft,8390,0,666327,8390
DZEK9999142699993,9/11/2013,9/2/2013,Short Circuit,DHEMAJI,DEF0001217,Guarded,Assam,Fire Loss,41650,0,666325,41650
OXX24169999,9/11/2013,9/10/2013,Vandalism,Abaadi,DEF0001217,Guarded,Punjab,Attempted Theft,40200,0,666379,40200
CESN99593499,9/11/2013,9/9/2013,Vandalism,Court road,DEF0001217,Guarded,Punjab,Attempted Theft,34890,0,666377,34890
XXND999399,9/16/2013,9/12/2013,Vandalism,Sangam Vihar,DEF0001218,Non Guarded,New Delhi,Attempted Theft,46870,0,667265,46870
DZEO9999689699994,9/16/2013,9/11/2013,Vandalism,Transit camp,DEF0001217,Guarded,Jammu & Kashmir,Attempted Theft,120790,0,667269,120790
NI995993991,9/16/2013,9/7/2013,Vandalism,Jamugurihat,DEF0001217,Guarded,Assam,Attempted Theft,111450,0,667277,111450
NEEL99571,9/18/2013,9/12/2013,Vandalism,Peeranwadi,DEF0001217,Guarded,Maharashtra,Attempted Theft,167700,0,668727,167700
XXME999991,9/20/2013,8/26/2013,Short Circuit,Madhubani,DEF0001218,Non Guarded,Bihar,Fire Loss,47910,0,668727,47910
XXGXX899993,9/20/2013,9/11/2013,Short Circuit,Palanpur,DEF0001218,Non Guarded,Gujarat,Fire Loss,30200,0,668733,30200
NI2363991,9/20/2013,9/18/2013,Vandalism,Chumekidima,DEF0001217,Guarded,Nagaland,Attempted Theft,71620,0,668735,71620
P2998959999,9/26/2013,9/18/2013,Vandalism,Bakala dist,DEF0001217,Guarded,Punjab,Attempted Theft,57840,0,675379,57840
CESN1518991,9/26/2013,9/22/2013,Vandalism,Zirakpur,DEF0001217,Guarded,Punjab,Attempted Theft,13650,0,675327,13650
CSZ999991,9/26/2013,9/17/2013,Vandalism,Saifai,DEF0001218,Non Guarded,Uttar Pradesh,Attempted Theft,67700,0,675322,67700
DZEP9999996449912,9/26/2013,9/12/2013,Vandalism,Pathankot,DEF0001217,Guarded,Punjab,Attempted Theft,116280,0,675325,116280
XXHY89911,9/27/2013,9/15/2013,Short Circuit,ABIDS,DEF0001218,Non Guarded,Andhra Pradesh,Fire Loss,33330,0,675582,33330
XXCE99915,9/27/2013,9/15/2013,Short Circuit,Chromopet,DEF0001218,Non Guarded,Tamil Nadu,Fire Loss,59370,0,675586,59370
XXOJ899991,9/27/2013,9/23/2013,Rat Bite,Bhusawal,DEF0001218,Non Guarded,Maharashtra,Others,39060,0,675625,39060
DEEK999911719925,9/27/2013,9/26/2013,Vandalism,KAMRUP,DEF0001217,Guarded,Assam,Attempted Theft,68760,0,675673,68760
IPSEN997799991,9/30/2013,9/26/2013,Vandalism,Gurdaspur,DEF0001217,Guarded,Punjab,Attempted Theft,76100,0,677287,76100
DZEP9999175999998,9/30/2013,9/26/2013,Vandalism,Sangrur,DEF0001217,Guarded,Punjab,Attempted Theft,34890,0,677282,34890
XXS9969931U,10/1/2013,9/29/2013,Short Circuit,DIBRUGARH,DEF0001217,Guarded,Assam,Fire Loss,0,0,677975,0
NSRT995991,10/3/2013,9/27/2013,Vandalism,Amroli,DEF0001217,Guarded,Gujarat,Attempted Theft,54980,0,672285,54980
NPUN1341,10/5/2013,9/30/2013,Vandalism,Pune,DEF0001217,Guarded,Maharashtra,Attempted Theft,26040,0,672773,26040
DI2478991,10/8/2013,10/2/2013,Vandalism,Jallandhar,DEF0001217,Guarded,Punjab,Attempted Theft,8330,0,673722,8330
DZEP599999979999992,10/8/2013,10/2/2013,Vandalism,Jallandhar,DEF0001217,Guarded,Punjab,Attempted Theft,80200,0,673722,80200
M31I421711,10/8/2013,10/3/2013,Vandalism,Bikhiwind,DEF0001217,Guarded,Punjab,Attempted Theft,31250,0,673727,31250
NI12997992,10/10/2013,10/8/2013,Vandalism & Theft,KAMRUP,DEF0001217,Guarded,Assam,Theft & Cash Loss,0,4025,672757,4025
XXEN899991,10/11/2013,10/3/2013,Vandalism,BIJNOR,DEF0001218,Non Guarded,Uttar Pradesh,Attempted Theft,32810,0,672233,32810
IOED6578,10/11/2013,10/4/2013,Vandalism,Jalandhar,DEF0001217,Guarded,Punjab,Attempted Theft,194150,0,672229,194150
CKZ899991,10/11/2013,9/30/2013,Vandalism,Karnal,DEF0001218,Non Guarded,Punjab,Attempted Theft,67700,0,672227,67700
NGW899995,10/15/2013,10/10/2013,Vandalism,NAGALAND,DEF0001218,Non Guarded,Nagaland,Attempted Theft,0,0,675355,0
IPSEN998994991,10/15/2013,10/7/2013,Vandalism,Balachaur,DEF0001217,Guarded,Punjab,Attempted Theft,40060,0,675357,40060
I14DC99857991,10/15/2013,10/13/2013,Vandalism,Hoshiarpur,DEF0001217,Guarded,Punjab,Attempted Theft,114580,0,675352,114580
IPSEN99984991,10/18/2013,10/16/2013,Vandalism,BHIKHIWIND,DEF0001217,Guarded,Punjab,Attempted Theft,77530,0,676755,77530
XXJV999991,10/18/2013,10/16/2013,Fire Accident,Bhubaneshwar,DEF0001218,Non Guarded,Odisha,Fire Loss,459110,0,676755,459110
NGUW699111111111,10/18/2013,10/17/2013,Vandalism,TINSUKIA,DEF0001218,Non Guarded,Assam,Attempted Theft,33330,0,676757,33330
NPUN1211,10/18/2013,10/17/2013,Vandalism,Pune,DEF0001217,Guarded,Maharashtra,Attempted Theft,33540,0,676223,33540
DZEP9999997329948,10/22/2013,10/19/2013,Vandalism,AMRITSAR,DEF0001217,Guarded,Punjab,Attempted Theft,65390,0,676887,65390
IPSEN1178991,10/22/2013,10/21/2013,Vandalism,HOSHIARPUR,DEF0001217,Guarded,Punjab,Attempted Theft,29790,0,676882,29790
DZEP999916379917,10/23/2013,10/21/2013,Vandalism,PATIALA,DEF0001217,Guarded,Punjab,Attempted Theft,63930,0,677252,63930
XXSO899999,10/23/2013,10/21/2013,Rat Bite,SOLAPUR,DEF0001218,Non Guarded,Maharashtra,Others,39060,0,677255,39060
DZEP99999972399995,10/24/2013,10/23/2013,Vandalism,Tarntaran,DEF0001217,Guarded,Punjab,Attempted Theft,102640,0,677839,102640
XXUE899991,10/24/2013,10/16/2013,Natural Calamity,Berhampur,DEF0001218,Non Guarded,Odisha,Act of God,46870,0,677826,46870
IPSEN99682991,10/29/2013,10/26/2013,Vandalism,Opp Arora Palace,DEF0001217,Guarded,Punjab,Attempted Theft,34890,0,678833,34890
M31I99368993,10/29/2013,10/26/2013,Vandalism,Tajpur,DEF0001217,Guarded,Punjab,Attempted Theft,33330,0,678835,33330
XXS9978991U,10/29/2013,10/25/2013,Vandalism,Nagaon,DEF0001217,Guarded,Assam,Attempted Theft,20560,0,678828,20560
DZEK999999999929967,10/29/2013,10/27/2013,Vandalism,Sidhi Ashram,DEF0001217,Guarded,Tripura,Attempted Theft,43750,0,678826,43750
DZEK999911719924,11/6/2013,10/29/2013,Vandalism,Baihata Chariali,DEF0001217,Guarded,Assam,Attempted Theft,0,0,679829,0
DZEK9999119939937,11/6/2013,10/31/2013,Vandalism,Nalbari ,DEF0001217,Guarded,Assam,Attempted Theft,14060,0,685278,14060
XXTP899992,11/6/2013,10/29/2013,Vandalism,Telebandha,DEF0001218,Non Guarded,Chattisgarh,Attempted Theft,52860,0,685282,52860
DZEK9999299139912,11/7/2013,11/1/2013,Vandalism,CHAKCHAKA BAZAR ,DEF0001217,Guarded,Assam,Attempted Theft,168900,0,685255,168900
